"self_employed","family_history","treatment_seek","work_interference","num_employees","remote_work","tech_company","employer_benefits","provided_care_options","employee_wellness_program","provided_seek_help","anonymity_protection","medical_leave_mh","mental_health_neg_consequence","phys_health_neg_consequence","discussing_mh_coworkers","discussing_mh_supervisor","mentalhealthinterview","phys_health_interview","mental_vs_physical","obs_consequence"
-1,0,1,3,1,0,1,1,3,0,1,1,1,0,0,3,1,0,3,1,0
-1,0,0,1,5,0,0,3,0,3,3,3,2,3,0,0,0,0,0,3,0
-1,0,0,1,1,0,1,0,0,0,0,3,3,0,0,1,1,1,1,0,0
-1,1,1,3,2,0,1,0,1,0,0,0,3,1,1,3,0,3,3,0,1
-1,1,0,2,1,0,1,1,3,0,3,3,2,0,0,1,1,0,3,3,0
-1,1,1,2,3,0,1,1,1,0,0,0,4,3,0,1,1,0,3,0,0
-1,0,0,0,2,0,1,3,0,3,3,3,2,0,0,1,1,3,3,1,0
-1,0,1,2,1,1,1,3,0,0,0,3,2,0,0,3,1,0,0,3,0
-1,0,0,0,3,1,1,3,3,0,0,3,2,0,0,1,1,1,1,3,0
-1,1,1,2,2,0,0,1,1,0,0,3,3,1,1,1,1,3,3,0,1
-1,1,0,0,4,0,1,3,3,0,3,3,2,0,0,1,1,0,0,3,0
-1,1,1,1,2,0,1,1,3,0,0,3,1,0,0,1,3,3,3,3,0
-1,0,1,2,2,1,1,3,0,3,3,3,0,3,0,3,0,3,3,0,0
-1,0,1,2,1,0,1,1,1,0,3,3,2,3,0,3,1,0,0,0,0
1,1,0,2,0,1,1,1,3,1,3,1,0,0,0,1,1,0,1,1,1
1,1,0,-1,1,1,1,0,0,1,0,1,1,0,0,3,3,3,3,3,0
0,1,1,2,3,0,1,1,1,0,0,0,3,3,0,3,3,0,0,0,0
0,0,1,3,2,1,1,1,1,0,0,3,2,3,0,3,1,0,3,0,0
0,0,1,0,5,0,0,3,0,0,3,3,2,3,0,0,0,0,1,3,0
0,1,1,2,5,0,0,1,1,0,3,0,0,1,0,3,1,0,1,0,0
0,0,0,-1,0,0,1,3,3,0,3,3,2,3,3,3,0,0,0,3,0
0,0,0,2,1,0,1,0,0,0,0,3,4,1,3,3,0,0,3,0,0
0,0,0,0,1,1,1,0,0,0,0,3,2,1,1,3,3,0,3,0,0
1,1,0,1,0,1,1,0,1,0,0,3,3,1,0,0,0,0,0,0,1
0,1,1,2,2,1,1,1,1,1,1,1,0,3,0,3,3,3,1,3,0
0,0,1,2,0,0,1,1,1,0,0,3,2,3,0,3,0,0,3,1,0
0,0,1,1,1,0,1,0,1,0,0,3,0,0,0,1,1,3,3,3,0
0,0,0,-1,3,0,1,0,1,0,0,3,1,3,0,3,3,0,3,0,0
0,0,0,-1,3,0,1,1,1,0,3,3,2,0,0,3,1,0,3,3,0
0,0,0,-1,5,1,1,1,3,3,1,3,3,1,1,3,0,0,3,3,0
0,1,1,2,0,0,1,0,1,0,0,1,4,3,0,3,0,0,0,1,0
0,0,0,3,1,0,1,0,3,0,0,3,3,1,3,0,3,0,0,0,0
0,0,1,2,2,0,1,3,0,0,0,3,2,0,0,0,0,0,3,3,0
0,0,0,-1,2,0,1,3,3,0,0,3,2,0,3,3,1,3,1,3,0
0,0,0,-1,1,0,1,0,0,0,0,3,2,0,0,1,1,3,1,3,0
1,0,0,2,0,0,1,0,1,1,0,3,2,0,0,1,1,0,0,1,0
0,1,1,1,2,0,1,1,0,0,3,3,2,3,0,3,1,0,0,3,0
0,0,0,-1,3,1,1,3,0,3,3,3,2,3,3,3,3,3,3,3,0
0,0,0,0,0,1,1,3,3,0,0,3,2,3,0,3,1,0,0,3,0
0,0,0,-1,3,0,1,0,0,0,0,3,2,0,0,0,0,0,3,3,0
0,1,1,1,2,0,1,1,1,0,0,1,2,3,0,0,0,0,0,3,0
0,0,0,-1,2,0,0,0,0,0,0,1,1,0,0,3,1,3,1,3,0
0,1,1,3,1,1,1,3,0,0,0,0,3,1,0,0,0,0,3,3,0
0,1,1,2,5,0,0,1,0,0,3,3,2,1,3,3,0,0,3,3,1
0,0,1,2,2,1,1,3,3,1,1,1,0,0,0,1,1,3,1,1,0
0,0,0,0,3,0,1,1,3,0,1,3,1,0,0,1,1,3,3,1,0
0,0,0,-1,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1
0,0,0,2,1,0,1,3,0,0,0,3,1,0,0,3,1,0,3,3,0
0,1,1,3,0,1,1,0,3,0,0,3,0,0,0,3,1,0,3,1,0
0,0,0,2,3,1,1,1,0,3,1,3,2,3,0,3,3,3,1,1,0
0,0,0,0,2,0,1,0,0,0,0,3,2,3,0,3,3,0,0,3,0
0,0,0,0,1,0,1,3,3,3,3,3,1,0,0,3,1,0,0,3,0
0,0,0,0,5,0,1,3,3,1,3,3,2,3,0,3,3,0,3,1,0
0,0,0,-1,0,0,1,0,1,0,0,0,3,1,0,0,0,0,3,0,0
0,0,0,-1,5,1,1,1,1,1,1,3,2,0,0,1,1,3,1,1,0
1,1,0,2,0,1,1,0,0,0,0,1,3,0,0,1,1,3,3,1,0
0,1,1,2,2,1,1,0,0,0,0,3,3,1,0,3,0,0,1,0,0
0,0,0,0,1,1,1,3,0,3,3,3,0,0,0,3,3,3,1,1,0
0,1,0,2,3,1,1,1,1,0,1,3,2,0,0,1,3,3,3,1,0
0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,3,1,0,0,0,0
0,1,0,0,5,0,1,0,0,0,0,3,2,1,0,0,0,0,3,0,0
0,0,0,-1,2,0,1,3,3,0,0,3,2,0,0,3,1,3,3,0,0
1,0,1,3,1,0,1,0,0,0,0,3,4,3,0,3,0,0,3,0,1
0,1,1,1,4,1,1,1,3,0,3,3,2,1,3,3,3,0,0,3,0
0,0,1,2,2,0,1,1,1,0,0,3,2,3,0,3,3,0,3,0,1
0,0,0,-1,4,0,1,3,0,0,3,3,2,0,0,3,3,0,0,3,0
0,0,1,2,2,0,1,0,1,0,0,1,4,0,0,1,1,1,1,0,0
0,0,0,-1,2,0,1,3,0,0,0,3,1,3,0,3,0,0,3,3,0
0,0,0,-1,2,1,1,1,1,0,0,1,1,0,0,1,1,1,1,3,0
0,0,1,2,2,0,1,1,1,0,3,3,2,3,0,3,1,0,3,3,0
0,0,0,0,2,0,1,3,0,0,3,3,2,0,0,1,1,3,3,0,0
0,1,0,1,2,0,1,3,3,0,3,3,1,3,3,3,0,0,3,3,0
0,1,1,2,1,0,1,3,0,0,0,3,2,0,0,3,1,3,1,0,0
0,0,1,3,0,0,1,0,1,0,0,1,1,0,0,1,1,3,3,1,0
0,1,1,2,2,0,0,0,1,0,0,0,4,1,0,0,0,0,3,0,1
0,0,0,0,3,0,1,1,3,3,3,3,2,3,3,0,3,0,0,3,0
0,1,0,-1,2,0,1,3,0,3,3,3,0,0,0,3,1,0,0,3,0
0,1,1,2,2,1,1,1,1,1,1,1,1,0,0,3,1,3,3,1,0
0,0,0,0,5,0,1,1,3,1,3,3,1,0,0,3,1,0,0,3,0
0,1,0,1,1,0,1,1,3,0,0,1,1,0,0,3,1,0,0,3,0
0,1,1,2,2,1,1,3,3,0,0,3,1,0,0,3,1,0,3,0,0
0,1,1,1,1,0,1,0,0,0,0,0,2,3,0,1,1,0,0,3,1
0,0,1,2,2,0,1,1,1,1,1,1,1,0,0,3,3,0,3,1,0
0,0,0,0,3,0,1,1,1,0,3,3,2,3,0,3,3,0,0,3,0
0,0,0,0,1,0,1,3,0,0,3,3,0,0,0,3,3,0,0,3,1
1,0,0,3,0,1,0,0,1,0,0,1,4,1,0,3,1,0,3,0,0
0,0,0,1,1,0,0,1,1,1,1,1,0,3,0,3,1,0,0,3,0
0,0,0,-1,2,1,1,3,3,0,3,3,2,0,0,3,1,3,3,3,0
0,0,0,0,5,0,1,1,1,0,1,3,2,1,1,0,0,0,0,3,0
0,0,0,3,1,0,1,1,0,0,0,1,2,3,0,0,0,0,0,3,0
0,1,0,0,4,0,1,1,0,1,1,1,2,1,0,3,0,0,1,3,0
0,0,1,1,3,0,1,1,1,0,1,1,2,1,0,0,1,0,0,3,0
0,1,0,2,1,0,1,0,0,0,0,3,1,3,3,0,0,0,0,1,0
0,0,1,2,1,0,1,3,0,0,0,3,1,1,1,3,0,0,0,3,0
0,1,1,2,5,0,1,1,1,0,0,3,0,3,0,1,3,0,1,0,0
0,0,0,1,0,1,1,0,1,0,0,3,4,3,0,1,3,0,1,3,0
0,0,0,0,2,0,1,3,3,3,3,3,2,0,0,1,1,3,3,3,0
0,0,0,-1,2,1,1,0,1,0,0,1,1,0,0,1,1,3,1,0,0
0,0,0,0,2,0,0,0,0,0,0,3,2,1,3,0,0,0,0,3,0
0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,3,1,3,3,1,0
0,0,1,3,5,0,1,1,3,0,0,3,1,0,0,1,1,0,0,3,0
0,1,1,2,3,0,1,3,0,3,3,3,2,3,0,3,1,0,0,3,0
1,0,1,2,5,0,0,0,1,1,1,1,4,1,1,3,0,0,3,1,0
0,0,0,0,2,1,0,3,3,3,3,3,2,1,0,3,0,0,3,3,0
0,0,0,-1,5,1,0,1,0,3,1,3,2,0,0,3,1,0,0,3,0
0,1,0,-1,5,1,1,3,3,0,3,3,2,3,3,3,3,0,3,3,0
0,1,1,1,3,0,0,1,1,1,1,3,1,3,3,3,1,3,3,3,0
0,0,0,0,1,0,1,0,0,0,0,1,2,3,3,0,3,0,0,3,0
0,0,1,1,3,0,1,0,1,1,1,3,1,1,0,3,0,0,0,0,1
0,0,0,-1,3,1,1,3,3,0,3,3,2,3,0,0,3,0,3,3,0
0,1,0,0,2,0,1,3,3,0,0,3,0,0,0,3,3,0,3,0,0
0,0,0,1,1,1,1,0,0,0,0,3,2,0,0,1,1,3,1,1,0
0,0,0,0,1,0,1,3,3,3,3,3,2,0,0,3,3,3,3,3,0
0,1,1,1,5,0,0,1,1,1,1,1,3,1,3,3,0,0,1,0,1
0,1,1,2,2,0,0,3,0,0,3,3,3,3,0,3,3,0,3,0,0
0,1,1,2,5,0,1,3,0,0,3,3,2,0,0,0,3,0,3,3,0
0,1,1,2,2,0,1,3,3,0,0,3,0,3,0,3,0,0,0,3,1
0,0,1,2,5,0,0,1,1,1,1,1,1,3,3,3,3,0,3,3,1
0,0,0,0,5,0,1,1,0,0,1,3,2,0,0,3,3,0,0,3,0
0,1,0,1,1,0,1,3,0,0,0,3,2,3,0,3,1,0,0,3,0
1,1,1,2,0,0,1,0,1,1,1,1,4,0,0,3,1,0,1,1,0
1,1,0,-1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,1,0
0,0,0,-1,1,0,1,0,1,0,0,3,4,3,0,1,1,0,3,0,0
1,1,0,2,0,0,1,0,0,0,0,3,4,1,0,0,0,0,3,0,0
0,0,0,1,3,0,1,3,3,1,3,3,0,3,3,3,3,0,3,3,0
0,0,1,2,5,0,1,1,1,3,3,1,1,0,0,1,1,0,0,3,0
0,0,1,0,5,0,1,3,3,0,0,3,4,1,3,0,0,3,3,0,0
0,0,0,-1,1,0,1,3,0,0,3,3,2,3,3,3,1,0,3,1,0
0,1,1,2,5,0,0,1,1,1,0,3,1,0,0,3,1,0,0,0,0
0,0,0,0,2,0,1,3,3,0,3,3,2,3,0,0,3,0,3,3,0
0,0,0,-1,3,0,0,0,3,0,1,1,1,0,0,3,3,3,3,1,0
0,0,1,3,1,1,1,1,3,3,3,1,0,0,0,1,1,0,0,1,1
0,0,1,2,0,0,1,1,0,0,0,1,3,0,0,1,1,0,0,1,0
0,0,0,-1,1,1,1,3,0,0,0,3,0,0,0,1,1,0,3,3,0
1,0,0,2,1,0,0,0,0,0,0,3,1,3,3,3,3,0,0,3,0
0,0,0,0,2,0,1,3,0,0,3,1,1,0,0,1,1,3,3,3,0
0,0,1,2,5,0,1,3,3,3,3,3,2,1,1,3,3,0,0,3,0
0,0,0,-1,4,1,1,1,0,0,0,3,2,1,0,3,0,3,1,0,0
0,0,0,2,1,0,1,3,0,0,3,3,1,3,0,3,1,3,1,1,0
0,0,0,-1,1,1,1,0,1,0,0,3,1,0,0,3,0,0,3,1,0
0,1,1,2,2,0,1,1,0,0,0,3,1,3,3,3,0,0,3,0,0
0,0,0,2,2,0,1,0,0,0,0,3,2,1,3,0,0,0,3,3,0
0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,3,1,0,0,3,0
0,0,0,2,3,0,1,0,0,0,0,3,4,1,1,3,0,0,0,0,1
1,1,0,0,1,0,1,0,0,0,0,3,1,3,3,3,3,0,3,3,0
0,0,0,0,4,1,1,3,3,0,0,3,2,3,3,3,0,0,0,3,0
0,0,0,1,5,0,1,1,0,0,0,1,1,0,0,3,1,0,3,0,0
0,1,1,2,5,0,1,3,0,0,0,3,2,3,3,3,0,0,3,3,0
0,1,1,2,2,0,1,1,0,0,0,3,0,0,0,3,3,0,0,1,0
0,0,1,2,4,0,0,1,1,1,1,1,1,3,0,3,1,0,0,1,0
0,0,1,3,1,1,1,0,3,0,0,3,4,3,3,3,3,3,3,3,0
0,0,0,2,0,0,1,0,1,0,0,3,4,1,0,0,0,0,1,3,0
0,1,0,-1,3,1,1,3,0,3,3,3,0,0,0,1,1,0,0,1,0
0,1,1,2,3,1,1,3,3,0,0,3,3,1,3,0,0,0,0,0,1
0,0,1,2,1,1,1,0,1,0,0,3,3,0,0,3,3,3,3,1,0
0,0,1,3,2,0,1,0,1,0,0,1,1,3,0,1,1,0,3,3,0
0,0,0,0,2,0,1,3,3,0,3,3,2,0,0,3,1,0,0,3,0
0,0,0,-1,2,0,1,1,1,1,1,1,1,0,0,3,1,0,0,1,0
0,1,0,2,2,0,0,0,0,0,0,3,2,1,3,3,1,0,3,3,0
1,0,1,3,0,1,1,0,0,0,0,3,2,1,0,0,0,0,3,3,0
0,1,1,2,1,0,1,3,0,0,0,0,2,1,3,3,3,0,3,0,1
0,0,1,2,3,0,0,1,1,3,3,1,0,0,0,1,1,0,1,1,0
1,0,1,3,1,1,1,1,1,0,0,1,4,0,0,3,1,3,1,1,0
1,0,0,-1,1,0,1,1,1,0,3,1,0,0,0,3,3,0,0,1,0
0,0,1,0,4,0,0,1,0,0,3,3,3,3,0,3,0,0,0,3,0
0,0,0,-1,2,0,1,1,3,0,0,3,0,1,0,0,3,0,0,3,0
0,0,0,-1,1,0,1,1,0,0,0,3,1,0,0,1,1,3,3,1,0
0,0,0,-1,2,0,1,3,0,0,0,3,2,0,0,1,1,1,1,3,0
0,0,0,1,1,0,1,3,0,0,0,3,2,0,0,3,3,0,3,3,0
0,0,1,2,5,0,1,0,1,0,0,1,4,1,0,0,3,0,0,0,0
0,0,0,0,2,0,1,3,3,3,3,3,2,0,0,0,1,0,1,1,0
0,0,0,-1,0,0,1,3,0,3,0,1,0,0,0,1,1,3,1,1,0
0,0,0,1,0,1,1,0,1,0,0,3,4,0,0,3,1,0,3,1,0
1,0,0,2,0,1,1,3,3,1,1,3,3,1,1,0,0,0,3,1,0
0,0,0,0,1,0,1,1,3,0,3,3,0,3,0,3,0,3,3,1,0
1,0,1,2,0,0,1,0,1,0,0,3,2,3,0,3,3,0,3,1,0
0,0,1,1,4,1,1,1,1,0,3,3,2,3,3,3,0,3,3,0,0
0,0,1,2,5,0,0,3,3,3,3,3,4,1,0,0,0,0,3,0,0
0,1,1,3,2,0,1,1,1,0,3,3,2,3,0,3,3,0,1,3,0
0,1,0,-1,1,0,1,0,0,0,0,1,3,0,0,3,1,0,1,0,1
0,1,1,2,5,0,0,1,1,1,1,1,1,0,0,3,3,0,3,1,0
0,1,1,2,1,0,0,1,1,1,1,1,2,0,0,3,1,0,0,0,1
0,0,0,-1,1,0,1,3,0,0,0,3,2,0,0,3,1,3,3,0,0
0,1,1,2,0,0,1,0,0,0,0,3,3,3,0,3,3,0,3,0,1
0,1,1,2,2,0,1,1,1,1,1,1,1,0,0,3,1,0,0,3,0
0,0,0,-1,1,0,1,0,0,0,0,1,3,3,0,3,1,0,1,0,0
0,0,1,2,5,1,1,1,1,1,1,1,2,1,3,0,0,0,3,0,1
0,0,1,3,1,0,0,3,0,0,3,3,2,3,0,0,0,0,3,3,0
0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,0
0,1,1,2,0,1,1,0,0,0,0,3,2,3,0,1,1,0,1,3,0
0,1,1,1,4,1,0,1,1,1,3,1,2,3,0,3,0,3,1,3,0
0,1,1,2,2,1,0,3,0,0,3,1,1,3,0,3,3,0,1,1,0
0,1,0,-1,3,0,1,1,0,0,3,1,1,0,0,3,1,0,3,1,1
0,1,1,1,3,1,1,1,1,1,3,1,0,0,0,3,1,0,3,1,0
0,0,0,-1,3,0,0,3,3,3,3,0,0,3,3,1,1,0,0,3,0
0,0,0,2,1,0,1,3,0,3,3,3,2,0,0,1,1,3,3,3,0
0,0,0,3,1,0,1,0,0,0,0,3,3,1,0,0,0,0,3,3,0
0,0,1,2,1,0,1,3,3,3,3,3,2,3,3,3,3,0,3,1,0
0,0,0,0,1,1,1,0,1,0,1,3,1,0,0,3,1,0,0,1,0
0,0,0,-1,0,0,1,0,0,0,0,3,2,1,0,3,3,0,1,0,0
0,1,1,3,1,0,1,0,1,0,0,0,4,1,3,0,0,0,1,0,1
0,0,1,1,1,0,1,1,0,0,0,1,2,3,3,1,0,0,3,3,0
0,0,0,2,1,1,1,0,1,0,0,0,4,1,1,3,3,0,3,0,0
0,0,1,2,3,1,1,1,1,0,1,1,2,0,0,1,1,3,0,1,0
0,1,1,1,1,0,1,0,1,0,0,1,4,3,0,3,3,0,1,0,0
1,0,0,-1,1,1,1,0,3,0,0,3,1,3,0,1,1,1,1,3,0
0,0,0,-1,1,0,1,0,1,0,3,3,0,0,0,3,1,0,3,3,0
1,1,1,2,0,1,1,3,3,3,3,3,0,3,3,1,3,3,3,3,1
0,1,1,3,2,0,1,1,1,0,0,1,2,3,0,3,3,0,1,3,0
0,1,1,0,3,0,0,1,0,3,3,1,2,0,0,3,1,3,3,1,0
0,0,0,-1,5,0,1,1,1,1,1,1,0,0,0,3,1,0,0,1,0
0,0,0,2,2,0,1,0,1,0,0,3,1,3,3,1,3,0,0,3,0
0,0,1,1,2,1,1,1,0,0,0,3,2,1,0,0,0,0,3,0,0
0,0,0,-1,3,0,1,1,0,1,1,1,2,0,0,3,1,0,0,3,0
0,0,0,-1,2,0,0,1,0,0,0,3,2,3,0,3,0,0,0,3,0
0,0,0,2,1,0,1,0,1,0,0,3,1,3,3,0,3,0,0,3,0
0,1,0,2,3,0,1,3,0,0,3,3,2,3,0,3,0,0,3,0,0
1,1,1,2,1,1,1,3,3,1,1,3,1,3,0,3,1,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,3,3,0
0,0,1,2,1,0,1,3,0,0,3,3,2,1,0,0,0,0,3,3,0
0,1,1,2,2,0,1,1,1,0,0,1,3,1,0,0,3,0,3,3,0
0,1,1,2,1,0,1,0,0,0,0,1,1,3,3,1,1,1,1,1,0
0,1,1,1,5,0,1,1,3,3,3,3,2,3,0,3,3,0,0,3,0
0,0,0,0,2,0,1,3,3,3,3,3,0,0,0,3,3,0,3,1,0
0,1,1,1,5,1,1,1,1,1,3,3,1,3,0,3,0,0,0,3,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0,0,0,0,5,0,1,3,0,0,3,3,2,1,3,3,3,0,0,3,0
0,1,1,2,5,0,1,1,1,3,3,1,2,3,0,3,3,0,3,3,0
0,0,0,-1,4,0,1,3,3,0,3,3,2,3,3,3,0,0,3,0,0
0,1,1,2,2,0,1,1,1,1,3,3,0,0,0,1,1,0,1,1,0
0,0,0,-1,5,0,1,1,0,3,1,3,2,0,0,3,1,3,3,1,0
0,1,1,2,5,0,1,1,0,1,1,3,2,1,0,0,0,0,3,3,0
0,0,0,0,5,0,1,1,1,1,1,3,2,0,0,3,1,3,3,3,0
0,0,1,2,5,0,1,1,3,3,3,1,1,0,0,1,1,0,0,1,0
0,0,0,1,3,0,1,1,3,0,3,3,2,0,0,3,1,0,3,3,0
0,1,1,3,3,1,0,1,1,1,1,1,1,1,0,3,1,0,0,1,0
0,0,1,1,5,0,1,1,1,3,1,3,1,0,0,3,1,0,0,1,0
0,1,1,3,1,0,1,1,0,0,3,3,2,3,0,3,3,3,3,1,0
0,1,1,1,2,0,1,1,3,0,0,3,1,3,0,3,1,0,0,3,0
0,0,0,-1,2,0,1,0,0,0,0,3,2,0,0,3,3,0,0,3,1
0,0,0,-1,2,1,1,3,3,0,3,3,2,0,0,3,1,0,0,3,0
0,0,0,2,3,0,1,1,3,1,1,3,2,3,0,3,1,0,3,3,0
0,0,1,1,3,0,1,1,3,3,1,3,2,0,0,3,1,0,0,3,0
